DBCODE,ENTITY,SITE,REACH_TYPE,DATE,METER,BANKFULL_WIDTH,WETTED_WIDTH,CANOPY_COVER,DATE_DEPLOYED_TILES,DATE_RETRIEVED_TILES,CHL_A_TILES
AS010,3,"FRITZ",SG,2014-07-15,0,11.1,1.6,98.50,2014-07-09,2014-08-20,0.06
AS010,3,"FRITZ",SG,2014-07-15,10,6.2,2.5,99.00,2014-07-09,2014-08-20,0.11
AS010,3,"FRITZ",SG,2014-07-15,20,8.9,3.6,97.75,2014-07-09,2014-08-20,0.05
AS010,3,"FRITZ",SG,2014-07-15,30,6.8,1.7,97.50,2014-07-09,2014-08-20,0.05
AS010,3,"FRITZ",SG,2014-07-15,40,9.5,1.7,91.00,2014-07-09,2014-08-20,0.07
AS010,3,"FRITZ",SG,2014-07-15,50,7.4,3.4,94.25,2014-07-09,2014-08-20,0.04
AS010,3,"FRITZ",SG,2014-07-15,60,5.9,1.6,98.00,2014-07-09,2014-08-20,
AS010,3,"FRITZ",SG,2014-07-15,70,6.1,1.1,99.00,2014-07-09,2014-08-20,0.32
AS010,3,"FRITZ",SG,2014-07-15,80,6.7,2.4,99.50,2014-07-09,2014-08-20,0.11
AS010,3,"FRITZ",SG,2014-07-15,90,9.1,4.9,99.25,2014-07-09,2014-08-20,0.05
AS010,3,"LO701",OG,2014-07-29,0,8.7,4.6,86.25,2014-07-25,2014-09-08,1.33
AS010,3,"LO701",OG,2014-07-29,10,13.2,5.1,78.00,2014-07-25,2014-09-08,
AS010,3,"LO701",OG,2014-07-29,20,9.2,5.1,86.25,2014-07-25,2014-09-08,1.38
AS010,3,"LO701",OG,2014-07-29,30,9.4,5.9,78.00,2014-07-25,2014-09-08,1.22
AS010,3,"LO701",OG,2014-07-29,40,11.0,5.9,73.00,2014-07-25,2014-09-08,1.36
AS010,3,"LO701",OG,2014-07-29,50,10.0,3.9,77.75,2014-07-25,2014-09-08,
AS010,3,"LO701",OG,2014-07-29,60,7.9,5.0,80.75,2014-07-25,2014-09-08,1.81
AS010,3,"LO701",OG,2014-07-29,70,9.1,3.6,83.00,2014-07-25,2014-09-08,1.24
AS010,3,"LO701",OG,2014-07-29,80,8.9,4.8,71.00,2014-07-25,2014-09-08,1.19
AS010,3,"LO701",OG,2014-07-29,90,10.1,5.6,89.75,2014-07-25,2014-09-08,1.38
AS010,3,"LO701",OG,2014-07-29,100,10.9,4.6,74.50,2014-07-25,2014-09-08,
AS010,3,"LO701",SG,2014-08-07,0,7.3,3.1,83.25,2014-07-25,2014-09-08,
AS010,3,"LO701",SG,2014-08-07,10,8.3,5.3,92.75,2014-07-25,2014-09-08,0.65
AS010,3,"LO701",SG,2014-08-07,20,8.7,7.1,84.00,2014-07-25,2014-09-08,0.71
AS010,3,"LO701",SG,2014-08-07,30,9.2,6.0,94.25,2014-07-25,2014-09-08,0.86
AS010,3,"LO701",SG,2014-08-07,40,10.6,6.9,89.25,2014-07-25,2014-09-08,
AS010,3,"LO701",SG,2014-08-07,50,10.4,4.4,89.00,2014-07-25,2014-09-08,0.80
AS010,3,"LO701",SG,2014-08-07,60,10.3,8.0,79.75,2014-07-25,2014-09-08,0.93
AS010,3,"LO701",SG,2014-08-07,70,7.3,5.6,95.00,2014-07-25,2014-09-08,1.00
AS010,3,"LO701",SG,2014-08-07,80,7.8,3.5,94.25,2014-07-25,2014-09-08,0.69
AS010,3,"LO701",SG,2014-08-07,90,10.7,5.8,91.00,2014-07-25,2014-09-08,0.92
AS010,3,"LO701",SG,2014-08-07,100,8.8,6.2,92.50,2014-07-25,2014-09-08,
AS010,3,"LO703",OG,2014-07-18,0,6.8,3.7,68.25,2014-07-25,2014-09-08,0.74
AS010,3,"LO703",OG,2014-07-18,10,6.6,5.0,56.75,2014-07-25,2014-09-08,1.97
AS010,3,"LO703",OG,2014-07-18,20,9.1,3.7,56.00,2014-07-25,2014-09-08,1.52
AS010,3,"LO703",OG,2014-07-18,30,7.7,3.2,52.25,2014-07-25,2014-09-08,
AS010,3,"LO703",OG,2014-07-18,40,6.9,4.9,58.00,2014-07-25,2014-09-08,1.07
AS010,3,"LO703",OG,2014-07-18,50,6.1,4.1,67.75,2014-07-25,2014-09-08,
AS010,3,"LO703",OG,2014-07-18,60,6.5,4.5,76.00,2014-07-25,2014-09-08,1.23
AS010,3,"LO703",OG,2014-07-18,70,8.6,3.8,79.00,2014-07-25,2014-09-08,1.36
AS010,3,"LO703",OG,2014-07-18,80,9.4,5.0,71.25,2014-07-25,2014-09-08,1.13
AS010,3,"LO703",OG,2014-07-18,90,10.5,4.1,74.75,2014-07-25,2014-09-08,1.27
AS010,3,"LO703",SG,2014-07-18,0,8.3,3.8,45.00,2014-07-25,2014-09-08,0.79
AS010,3,"LO703",SG,2014-07-18,10,7.1,2.8,89.75,2014-07-25,2014-09-08,0.57
AS010,3,"LO703",SG,2014-07-18,20,6.3,3.5,42.75,2014-07-25,2014-09-08,0.63
AS010,3,"LO703",SG,2014-07-18,30,6.4,4.5,35.75,2014-07-25,2014-09-08,
AS010,3,"LO703",SG,2014-07-18,40,7.9,3.7,32.00,2014-07-25,2014-09-08,2.95
AS010,3,"LO703",SG,2014-07-18,50,7.1,3.1,31.50,2014-07-25,2014-09-08,
AS010,3,"LO703",SG,2014-07-18,60,7.0,5.0,43.50,2014-07-25,2014-09-08,1.58
AS010,3,"LO703",SG,2014-07-18,70,6.7,4.8,48.50,2014-07-25,2014-09-08,1.45
AS010,3,"LO703",SG,2014-07-18,80,7.4,5.3,46.50,2014-07-25,2014-09-08,1.18
AS010,3,"LO703",SG,2014-07-18,90,8.7,7.2,60.00,2014-07-25,2014-09-08,1.06
AS010,3,"LO703",SG,2014-07-18,100,8.4,5.1,33.25,2014-07-25,2014-09-08,
AS010,3,"MACK",OG,2014-10-07,0,10.8,5.2,70.25,2014-07-21,2014-09-01,0.96
AS010,3,"MACK",OG,2014-10-07,10,9.1,6.2,0.00,2014-07-21,2014-09-01,
AS010,3,"MACK",OG,2014-10-07,20,6.7,5.5,54.25,2014-07-21,2014-09-01,0.58
AS010,3,"MACK",OG,2014-10-07,30,7.0,5.7,0.00,2014-07-21,2014-09-01,1.10
AS010,3,"MACK",OG,2014-10-07,40,8.6,2.3,59.50,2014-07-21,2014-09-01,
AS010,3,"MACK",OG,2014-10-07,50,8.6,2.6,81.25,2014-07-21,2014-09-01,0.91
AS010,3,"MACK",OG,2014-10-07,60,11.3,2.3,0.00,2014-07-21,2014-09-01,0.78
AS010,3,"MACK",OG,2014-10-07,70,8.8,3.5,89.75,2014-07-21,2014-09-01,
AS010,3,"MACK",OG,2014-10-07,80,12.6,2.1,0.00,2014-07-21,2014-09-01,1.53
AS010,3,"MACK",OG,2014-10-07,90,21.3,6.8,91.25,2014-07-21,2014-09-01,
AS010,3,"MACK",OG,2014-10-07,100,7.9,3.3,84.25,2014-07-21,2014-09-01,0.90
AS010,3,"MACK",OG,2014-10-07,110,9.7,5.0,0.00,2014-07-21,2014-09-01,
AS010,3,"MACK",OG,2014-10-07,120,9.6,5.8,68.00,2014-07-21,2014-09-01,2.18
AS010,3,"MACK",OG,2014-10-07,130,9.4,4.9,81.75,2014-07-21,2014-09-01,
AS010,3,"MACK",OG,2014-10-07,140,8.6,2.4,0.00,2014-07-21,2014-09-01,
AS010,3,"MACK",OG,2014-10-07,150,6.4,3.4,80.50,2014-07-21,2014-09-01,
AS010,3,"MACK",SG,2014-08-07,0,11.2,3.1,68.25,2014-07-21,2014-09-01,0.90
AS010,3,"MACK",SG,2014-08-07,10,6.2,2.1,0.00,2014-07-21,2014-09-01,
AS010,3,"MACK",SG,2014-08-07,20,8.3,2.9,62.00,2014-07-21,2014-09-01,
AS010,3,"MACK",SG,2014-08-07,30,7.3,3.9,67.75,2014-07-21,2014-09-01,0.73
AS010,3,"MACK",SG,2014-08-07,40,9.4,4.7,0.00,2014-07-21,2014-09-01,0.70
AS010,3,"MACK",SG,2014-08-07,50,9.6,4.3,57.00,2014-07-21,2014-09-01,
AS010,3,"MACK",SG,2014-08-07,60,7.7,4.0,71.00,2014-07-21,2014-09-01,1.32
AS010,3,"MACK",SG,2014-08-07,70,9.6,4.2,0.00,2014-07-21,2014-09-01,
AS010,3,"MACK",SG,2014-08-07,80,6.9,2.8,81.00,2014-07-21,2014-09-01,0.52
AS010,3,"MACK",SG,2014-08-07,90,11.1,5.4,58.25,2014-07-21,2014-09-01,0.82
AS010,3,"MACK",SG,2014-08-07,100,7.0,2.0,0.00,2014-07-21,2014-09-01,
AS010,3,"MACK",SG,2014-08-07,110,5.7,4.2,68.50,2014-07-21,2014-09-01,1.12
AS010,3,"MACK",SG,2014-08-07,120,10.9,4.2,55.50,2014-07-21,2014-09-01,1.62
AS010,3,"MACK",SG,2014-08-07,130,9.7,4.6,0.00,2014-07-21,2014-09-01,
AS010,3,"MACK",SG,2014-08-07,140,12.3,6.3,0.00,2014-07-21,2014-09-01,0.99
AS010,3,"MACK",SG,2014-08-07,150,16.3,4.9,88.50,2014-07-21,2014-09-01,
AS010,3,"MCT_E",OG,2014-07-01,0,3.7,1.6,85.25,2014-07-01,2014-08-15,0.03
AS010,3,"MCT_E",OG,2014-07-01,10,2.7,1.5,80.75,2014-07-01,2014-08-15,0.07
AS010,3,"MCT_E",OG,2014-07-01,20,3.7,1.3,80.75,2014-07-01,2014-08-15,0.03
AS010,3,"MCT_E",OG,2014-07-01,30,3.6,0.5,90.75,2014-07-01,2014-08-15,0.02
AS010,3,"MCT_E",OG,2014-07-01,40,3.0,0.9,83.25,2014-07-01,2014-08-15,
AS010,3,"MCT_E",OG,2014-07-01,50,3.7,1.3,93.50,2014-07-01,2014-08-15,0.01
AS010,3,"MCT_E",OG,2014-07-01,60,3.6,0.7,90.75,2014-07-01,2014-08-15,0.03
AS010,3,"MCT_E",OG,2014-07-01,70,3.8,0.9,91.25,2014-07-01,2014-08-15,0.01
AS010,3,"MCT_E",OG,2014-07-01,80,3.4,0.9,96.75,2014-07-01,2014-08-15,0.02
AS010,3,"MCT_E",OG,2014-07-01,90,5.3,1.9,95.25,2014-07-01,2014-08-15,0.11
AS010,3,"MCT_E",OG,2014-07-01,100,4.2,1.9,0.00,2014-07-01,2014-08-15,
AS010,3,"MCT_E",SG,2014-07-08,330,2.4,0.9,95.50,2014-07-01,2014-08-15,0.04
AS010,3,"MCT_E",SG,2014-07-08,340,2.3,1.6,97.50,2014-07-01,2014-08-15,0.07
AS010,3,"MCT_E",SG,2014-07-08,350,2.5,1.1,92.00,2014-07-01,2014-08-15,0.32
AS010,3,"MCT_E",SG,2014-07-08,360,2.9,1.3,92.00,2014-07-01,2014-08-15,0.11
AS010,3,"MCT_E",SG,2014-07-08,370,1.8,1.0,94.50,2014-07-01,2014-08-15,
AS010,3,"MCT_E",SG,2014-07-08,380,3.6,1.1,93.50,2014-07-01,2014-08-15,0.12
AS010,3,"MCT_E",SG,2014-07-08,390,5.5,1.3,94.75,2014-07-01,2014-08-15,0.09
AS010,3,"MCT_E",SG,2014-07-08,400,2.6,1.1,95.25,2014-07-01,2014-08-15,0.16
AS010,3,"MCT_E",SG,2014-07-08,410,3.8,1.6,95.50,2014-07-01,2014-08-15,0.05
AS010,3,"MCT_E",SG,2014-07-08,420,3.6,0.8,96.50,2014-07-01,2014-08-15,0.10
AS010,3,"MCT_E",SG,2014-07-08,430,2.7,1.5,96.75,2014-07-01,2014-08-15,
AS010,3,"MCT_W",OG,2014-07-14,0,4.2,1.2,88.25,2014-07-01,2014-08-15,
AS010,3,"MCT_W",OG,2014-07-14,10,6.0,2.8,93.75,2014-07-01,2014-08-15,0.33
AS010,3,"MCT_W",OG,2014-07-14,20,3.8,2.0,79.00,2014-07-01,2014-08-15,0.57
AS010,3,"MCT_W",OG,2014-07-14,30,5.1,1.2,93.50,2014-07-01,2014-08-15,
AS010,3,"MCT_W",OG,2014-07-14,40,4.9,1.1,95.75,2014-07-01,2014-08-15,0.34
AS010,3,"MCT_W",OG,2014-07-14,50,4.3,2.5,89.75,2014-07-01,2014-08-15,0.58
AS010,3,"MCT_W",OG,2014-07-14,60,3.1,0.8,86.50,2014-07-01,2014-08-15,0.70
AS010,3,"MCT_W",OG,2014-07-14,70,2.5,3.4,93.50,2014-07-01,2014-08-15,0.25
AS010,3,"MCT_W",OG,2014-07-14,80,2.9,1.9,100.00,2014-07-01,2014-08-15,
AS010,3,"MCT_W",OG,2014-07-14,90,4.6,1.4,94.25,2014-07-01,2014-08-15,0.35
AS010,3,"MCT_W",OG,2014-07-14,100,3.4,1.4,0.00,2014-07-01,2014-08-15,
AS010,3,"MCT_W",SG,2014-07-14,20,5.8,1.0,99.25,2014-07-01,2014-08-15,0.05
AS010,3,"MCT_W",SG,2014-07-14,30,3.9,1.4,97.25,2014-07-01,2014-08-15,0.12
AS010,3,"MCT_W",SG,2014-07-14,40,3.2,1.6,96.50,2014-07-01,2014-08-15,0.24
AS010,3,"MCT_W",SG,2014-07-14,50,2.7,2.1,93.75,2014-07-01,2014-08-15,0.26
AS010,3,"MCT_W",SG,2014-07-14,60,3.6,1.3,91.00,2014-07-01,2014-08-15,0.26
AS010,3,"MCT_W",SG,2014-07-14,70,4.0,1.3,90.00,2014-07-01,2014-08-15,0.24
AS010,3,"MCT_W",SG,2014-07-14,80,3.9,1.4,89.00,2014-07-01,2014-08-15,0.45
AS010,3,"MCT_W",SG,2014-07-14,90,2.8,1.3,91.00,2014-07-01,2014-08-15,0.55
AS010,3,"MCT_W",SG,2014-07-14,100,2.5,1.8,91.75,2014-07-01,2014-08-15,0.08
AS010,3,"MCT_W",SG,2014-07-14,110,2.4,2.5,98.25,2014-07-01,2014-08-15,0.47
AS010,3,"MCT_W",SG,2014-07-14,120,2.3,1.4,95.75,2014-07-01,2014-08-15,
AS010,3,"MR404",OG,2014-07-17,0,7.6,3.5,78.75,2014-07-21,2014-09-01,1.14
AS010,3,"MR404",OG,2014-07-17,10,7.8,3.2,72.75,2014-07-21,2014-09-01,1.77
AS010,3,"MR404",OG,2014-07-17,20,7.0,3.9,76.25,2014-07-21,2014-09-01,
AS010,3,"MR404",OG,2014-07-17,30,10.4,3.1,55.00,2014-07-21,2014-09-01,0.83
AS010,3,"MR404",OG,2014-07-17,40,14.7,3.7,64.00,2014-07-21,2014-09-01,0.89
AS010,3,"MR404",OG,2014-07-17,50,13.7,3.7,70.25,2014-07-21,2014-09-01,1.50
AS010,3,"MR404",OG,2014-07-17,60,13.9,6.4,63.50,2014-07-21,2014-09-01,0.74
AS010,3,"MR404",OG,2014-07-17,70,13.3,5.7,80.75,2014-07-21,2014-09-01,0.69
AS010,3,"MR404",OG,2014-07-17,80,7.9,3.6,79.75,2014-07-21,2014-09-01,0.91
AS010,3,"MR404",OG,2014-07-17,90,8.0,3.4,69.25,2014-07-21,2014-09-01,0.93
AS010,3,"MR404",SG,2014-07-17,0,7.0,2.1,79.25,2014-07-21,2014-09-01,0.89
AS010,3,"MR404",SG,2014-07-17,10,6.5,3.0,64.50,2014-07-21,2014-09-01,0.81
AS010,3,"MR404",SG,2014-07-17,20,8.1,2.4,70.75,2014-07-21,2014-09-01,0.83
AS010,3,"MR404",SG,2014-07-17,30,7.4,3.9,66.25,2014-07-21,2014-09-01,0.92
AS010,3,"MR404",SG,2014-07-17,40,7.8,3.0,51.00,2014-07-21,2014-09-01,
AS010,3,"MR404",SG,2014-07-17,50,7.6,3.4,80.50,2014-07-21,2014-09-01,1.41
AS010,3,"MR404",SG,2014-07-17,60,9.8,5.9,78.50,2014-07-21,2014-09-01,1.19
AS010,3,"MR404",SG,2014-07-17,70,10.7,3.9,47.00,2014-07-21,2014-09-01,1.46
AS010,3,"MR404",SG,2014-07-17,80,12.1,4.7,57.50,2014-07-21,2014-09-01,1.08
AS010,3,"MR404",SG,2014-07-17,90,9.1,5.3,77.75,2014-07-21,2014-09-01,1.27
AS010,3,"STR",OG,2014-07-28,80,5.8,4.2,87.25,2014-07-01,2014-08-15,0.08
AS010,3,"STR",OG,2014-07-28,90,7.0,2.6,90.75,2014-07-01,2014-08-15,0.14
AS010,3,"STR",OG,2014-07-28,100,6.4,2.6,86.50,2014-07-01,2014-08-15,0.09
AS010,3,"STR",OG,2014-07-28,110,8.4,2.3,77.00,2014-07-01,2014-08-15,0.14
AS010,3,"STR",OG,2014-07-28,120,6.1,2.6,58.75,2014-07-01,2014-08-15,0.27
AS010,3,"STR",OG,2014-07-28,130,8.9,2.6,67.25,2014-07-01,2014-08-15,
AS010,3,"STR",OG,2014-07-28,140,9.6,2.3,69.25,2014-07-01,2014-08-15,0.20
AS010,3,"STR",OG,2014-07-28,150,4.8,3.6,86.25,2014-07-01,2014-08-15,0.15
AS010,3,"STR",OG,2014-07-28,160,4.9,3.5,79.25,2014-07-01,2014-08-15,0.20
AS010,3,"STR",SG,2014-07-28,0,5.7,1.6,92.00,2014-07-01,2014-08-15,0.20
AS010,3,"STR",SG,2014-07-28,10,8.6,3.1,96.25,2014-07-01,2014-08-15,
AS010,3,"STR",SG,2014-07-28,20,7.7,3.8,91.75,2014-07-01,2014-08-15,0.09
AS010,3,"STR",SG,2014-07-28,30,5.2,2.1,90.25,2014-07-01,2014-08-15,0.10
AS010,3,"STR",SG,2014-07-28,40,4.2,2.2,99.00,2014-07-01,2014-08-15,0.09
AS010,3,"STR",SG,2014-07-28,50,5.4,3.1,97.00,2014-07-01,2014-08-15,0.07
AS010,3,"STR",SG,2014-07-28,60,6.6,4.3,90.00,2014-07-01,2014-08-15,0.30
AS010,3,"STR",SG,2014-07-28,70,7.2,4.6,81.00,2014-07-01,2014-08-15,
AS010,3,"STR",SG,2014-07-28,80,6.1,2.9,86.75,2014-07-01,2014-08-15,0.21
