DBCODE,ENTITY,SITE,REACH_TYPE,DATE,INVERT_NO,LR_SUB,SUBSAMPLE_AREA,SUBSAMPLE_PROPORTION,TAXA,TAXA_RANK,INV_LIFESTAGE,MAG,INVERT_LENGTH,CONVERTED_LENGTH,TOT_CNT
AS010,2,"COOK",OG,2014-07-14,17,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.6,0.80,1
AS010,2,"COOK",OG,2014-07-14,18,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.6,0.80,1
AS010,2,"COOK",OG,2014-07-14,19,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.6,0.80,1
AS010,2,"COOK",OG,2014-07-14,20,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,5.0,0.80,1
AS010,2,"COOK",OG,2014-07-14,21,SUB,0.0938,0.2500,"Acari","SUBCLASS",N,2.00,1.7,0.90,1
AS010,2,"COOK",OG,2014-07-14,22,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,5.1,0.90,1
AS010,2,"COOK",OG,2014-07-14,23,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,5.3,0.90,1
AS010,2,"COOK",OG,2014-07-14,24,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,1.8,0.90,1
AS010,2,"COOK",OG,2014-07-14,25,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,5.00,4.5,0.90,1
AS010,2,"COOK",OG,2014-07-14,26,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,5.5,0.90,1
AS010,2,"COOK",OG,2014-07-14,27,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,5.5,0.90,1
AS010,2,"COOK",OG,2014-07-14,28,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,5.9,1.00,1
AS010,2,"COOK",OG,2014-07-14,29,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.0,1.00,1
AS010,2,"COOK",OG,2014-07-14,30,SUB,0.0938,0.2500,"Trichoptera","ORDER",N,6.00,6.0,1.00,7
AS010,2,"COOK",OG,2014-07-14,31,SUB,0.0938,0.2500,"Trichoptera","ORDER",N,6.00,6.0,1.00,9
AS010,2,"COOK",OG,2014-07-14,32,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,6.1,1.00,1
AS010,2,"COOK",OG,2014-07-14,33,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,6.1,1.00,1
AS010,2,"COOK",OG,2014-07-14,34,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,6.1,1.00,1
AS010,2,"COOK",OG,2014-07-14,35,SUB,0.0938,0.2500,"Ephemerellidae","FAMILY",N,2.00,2.1,1.10,1
AS010,2,"COOK",OG,2014-07-14,36,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,6.4,1.10,1
AS010,2,"COOK",OG,2014-07-14,37,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,6.5,1.10,1
AS010,2,"COOK",OG,2014-07-14,38,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.2,1.10,1
AS010,2,"COOK",OG,2014-07-14,39,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.2,1.10,1
AS010,2,"COOK",OG,2014-07-14,40,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,5.00,5.5,1.10,1
AS010,2,"COOK",OG,2014-07-14,41,SUB,0.0938,0.2500,"Paraleptophlebia","GENUS",N,6.00,6.7,1.10,1
AS010,2,"COOK",OG,2014-07-14,42,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.3,1.20,1
AS010,2,"COOK",OG,2014-07-14,43,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.3,1.20,1
AS010,2,"COOK",OG,2014-07-14,44,SUB,0.0938,0.2500,"Ostracoda","CLASS",N,2.00,2.3,1.20,1
AS010,2,"COOK",OG,2014-07-14,45,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,6.00,6.9,1.20,1
AS010,2,"COOK",OG,2014-07-14,46,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,5.8,1.20,1
AS010,2,"COOK",OG,2014-07-14,47,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,7.0,1.20,1
AS010,2,"COOK",OG,2014-07-14,48,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,7.1,1.20,1
AS010,2,"COOK",OG,2014-07-14,49,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,7.1,1.20,1
AS010,2,"COOK",OG,2014-07-14,50,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.4,1.20,1
AS010,2,"COOK",OG,2014-07-14,51,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,5.00,6.0,1.20,1
AS010,2,"COOK",OG,2014-07-14,52,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,7.2,1.20,1
AS010,2,"COOK",OG,2014-07-14,53,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,7.2,1.20,1
AS010,2,"COOK",OG,2014-07-14,54,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,6.00,7.2,1.20,1
AS010,2,"COOK",OG,2014-07-14,55,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,7.2,1.20,1
AS010,2,"COOK",OG,2014-07-14,56,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,7.2,1.20,1
AS010,2,"COOK",OG,2014-07-14,57,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,5.00,6.1,1.20,1
AS010,2,"COOK",OG,2014-07-14,58,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,5.00,6.2,1.20,1
AS010,2,"COOK",OG,2014-07-14,59,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,60,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,61,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,62,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,63,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,64,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,65,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,66,SUB,0.0938,0.2500,"Paraleptophlebia","GENUS",N,6.00,7.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,67,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,7.6,1.30,1
AS010,2,"COOK",OG,2014-07-14,68,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,5.1,1.30,1
AS010,2,"COOK",OG,2014-07-14,69,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,3.20,4.1,1.30,1
AS010,2,"COOK",OG,2014-07-14,70,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.6,1.30,1
AS010,2,"COOK",OG,2014-07-14,71,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.6,1.30,1
AS010,2,"COOK",OG,2014-07-14,72,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.6,1.30,1
AS010,2,"COOK",OG,2014-07-14,73,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.6,1.30,1
AS010,2,"COOK",OG,2014-07-14,74,SUB,0.0938,0.2500,"Baetis","GENUS",N,5.00,6.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,75,SUB,0.0938,0.2500,"Baetis","GENUS",N,5.00,6.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,76,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,5.00,6.5,1.30,1
AS010,2,"COOK",OG,2014-07-14,77,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,6.00,7.8,1.30,1
AS010,2,"COOK",OG,2014-07-14,78,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,7.8,1.30,1
AS010,2,"COOK",OG,2014-07-14,79,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,7.9,1.30,1
AS010,2,"COOK",OG,2014-07-14,80,SUB,0.0938,0.2500,"Chloroperlidae","FAMILY",N,6.00,7.9,1.30,1
AS010,2,"COOK",OG,2014-07-14,81,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,7.9,1.30,1
AS010,2,"COOK",OG,2014-07-14,82,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,4.00,5.3,1.30,1
AS010,2,"COOK",OG,2014-07-14,83,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.0,1.30,1
AS010,2,"COOK",OG,2014-07-14,84,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.0,1.30,1
AS010,2,"COOK",OG,2014-07-14,85,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,6.00,8.0,1.30,1
AS010,2,"COOK",OG,2014-07-14,86,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,6.00,8.0,1.30,1
AS010,2,"COOK",OG,2014-07-14,87,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.1,1.40,1
AS010,2,"COOK",OG,2014-07-14,88,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,8.1,1.40,1
AS010,2,"COOK",OG,2014-07-14,89,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,8.1,1.40,1
AS010,2,"COOK",OG,2014-07-14,90,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,8.1,1.40,1
AS010,2,"COOK",OG,2014-07-14,91,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.7,1.40,1
AS010,2,"COOK",OG,2014-07-14,92,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,4.00,5.4,1.40,1
AS010,2,"COOK",OG,2014-07-14,93,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.2,1.40,1
AS010,2,"COOK",OG,2014-07-14,94,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.2,1.40,1
AS010,2,"COOK",OG,2014-07-14,95,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,8.2,1.40,1
AS010,2,"COOK",OG,2014-07-14,96,SUB,0.0938,0.2500,"Drunella","GENUS",N,4.00,5.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,97,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,5.00,6.9,1.40,1
AS010,2,"COOK",OG,2014-07-14,98,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,6.9,1.40,1
AS010,2,"COOK",OG,2014-07-14,99,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,2.8,1.40,1
AS010,2,"COOK",OG,2014-07-14,100,SUB,0.0938,0.2500,"Chironomidae","FAMILY",P,2.00,2.8,1.40,1
AS010,2,"COOK",OG,2014-07-14,101,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,7.0,1.40,1
AS010,2,"COOK",OG,2014-07-14,102,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,5.00,7.0,1.40,1
AS010,2,"COOK",OG,2014-07-14,103,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,5.00,7.0,1.40,1
AS010,2,"COOK",OG,2014-07-14,104,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,5.00,7.0,1.40,1
AS010,2,"COOK",OG,2014-07-14,105,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,5.00,7.0,1.40,1
AS010,2,"COOK",OG,2014-07-14,106,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,8.4,1.40,1
AS010,2,"COOK",OG,2014-07-14,107,SUB,0.0938,0.2500,"Baetis","GENUS",N,3.20,4.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,108,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,109,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,110,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,6.00,8.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,111,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,6.00,8.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,112,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,6.00,8.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,113,SUB,0.0938,0.2500,"Rhyacophila","GENUS",N,6.00,8.5,1.40,1
AS010,2,"COOK",OG,2014-07-14,114,SUB,0.0938,0.2500,"Drunella","GENUS",N,4.00,5.7,1.40,1
AS010,2,"COOK",OG,2014-07-14,115,SUB,0.0938,0.2500,"Nemouridae","FAMILY",N,4.00,5.7,1.40,1
AS010,2,"COOK",OG,2014-07-14,116,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,8.6,1.40,1
AS010,2,"COOK",OG,2014-07-14,117,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,7.2,1.40,1
AS010,2,"COOK",OG,2014-07-14,118,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,7.2,1.40,1
AS010,2,"COOK",OG,2014-07-14,119,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,7.2,1.40,1
AS010,2,"COOK",OG,2014-07-14,120,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,5.8,1.50,1
AS010,2,"COOK",OG,2014-07-14,121,SUB,0.0938,0.2500,"Drunella","GENUS",N,3.20,4.7,1.50,1
AS010,2,"COOK",OG,2014-07-14,122,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,4.00,5.9,1.50,1
AS010,2,"COOK",OG,2014-07-14,123,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,4.00,5.9,1.50,1
AS010,2,"COOK",OG,2014-07-14,124,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,8.9,1.50,1
AS010,2,"COOK",OG,2014-07-14,125,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,126,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,127,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,128,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,129,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,130,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,131,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,132,SUB,0.0938,0.2500,"Chironomidae","FAMILY",P,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,133,SUB,0.0938,0.2500,"Empididae","FAMILY",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,134,SUB,0.0938,0.2500,"Platyhelminthes","PHYLUM",N,2.00,3.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,135,SUB,0.0938,0.2500,"Drunella","GENUS",N,4.00,6.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,136,SUB,0.0938,0.2500,"Drunella","GENUS",N,4.00,6.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,137,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,6.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,138,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,6.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,139,SUB,0.0938,0.2500,"Baetis","GENUS",N,5.00,7.5,1.50,1
AS010,2,"COOK",OG,2014-07-14,140,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,7.5,1.50,1
AS010,2,"COOK",OG,2014-07-14,141,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,5.00,7.5,1.50,1
AS010,2,"COOK",OG,2014-07-14,142,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,7.5,1.50,1
AS010,2,"COOK",OG,2014-07-14,143,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,9.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,144,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,9.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,145,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,6.00,9.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,146,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,9.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,147,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,6.00,9.0,1.50,1
AS010,2,"COOK",OG,2014-07-14,148,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,9.1,1.50,1
AS010,2,"COOK",OG,2014-07-14,149,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,9.1,1.50,1
AS010,2,"COOK",OG,2014-07-14,150,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,6.00,9.1,1.50,1
AS010,2,"COOK",OG,2014-07-14,151,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,7.6,1.50,1
AS010,2,"COOK",OG,2014-07-14,152,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,7.6,1.50,1
AS010,2,"COOK",OG,2014-07-14,153,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,6.1,1.50,1
AS010,2,"COOK",OG,2014-07-14,154,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,6.1,1.50,1
AS010,2,"COOK",OG,2014-07-14,155,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,4.00,6.1,1.50,1
AS010,2,"COOK",OG,2014-07-14,156,SUB,0.0938,0.2500,"Heptageniidae","FAMILY",N,6.00,9.2,1.50,1
AS010,2,"COOK",OG,2014-07-14,157,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,9.2,1.50,1
AS010,2,"COOK",OG,2014-07-14,158,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,6.2,1.60,1
AS010,2,"COOK",OG,2014-07-14,159,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,9.3,1.60,1
AS010,2,"COOK",OG,2014-07-14,160,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,7.8,1.60,1
AS010,2,"COOK",OG,2014-07-14,161,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,7.8,1.60,1
AS010,2,"COOK",OG,2014-07-14,162,SUB,0.0938,0.2500,"Drunella","GENUS",N,4.00,6.3,1.60,1
AS010,2,"COOK",OG,2014-07-14,163,SUB,0.0938,0.2500,"Drunella","GENUS",N,4.00,6.3,1.60,1
AS010,2,"COOK",OG,2014-07-14,164,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,7.9,1.60,1
AS010,2,"COOK",OG,2014-07-14,165,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,9.5,1.60,1
AS010,2,"COOK",OG,2014-07-14,166,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,9.5,1.60,1
AS010,2,"COOK",OG,2014-07-14,167,SUB,0.0938,0.2500,"Empididae","FAMILY",N,2.00,3.2,1.60,1
AS010,2,"COOK",OG,2014-07-14,168,SUB,0.0938,0.2500,"Paraleptophlebia","GENUS",N,5.00,8.0,1.60,1
AS010,2,"COOK",OG,2014-07-14,169,SUB,0.0938,0.2500,"Baetis","GENUS",N,5.00,8.1,1.60,1
AS010,2,"COOK",OG,2014-07-14,170,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.1,1.60,1
AS010,2,"COOK",OG,2014-07-14,171,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.1,1.60,1
AS010,2,"COOK",OG,2014-07-14,172,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.1,1.60,1
AS010,2,"COOK",OG,2014-07-14,173,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.1,1.60,1
AS010,2,"COOK",OG,2014-07-14,174,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,3.20,5.2,1.60,1
AS010,2,"COOK",OG,2014-07-14,175,SUB,0.0938,0.2500,"Baetis","GENUS",N,4.00,6.5,1.60,1
AS010,2,"COOK",OG,2014-07-14,176,SUB,0.0938,0.2500,"Baetis","GENUS",N,4.00,6.5,1.60,1
AS010,2,"COOK",OG,2014-07-14,177,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,4.00,6.5,1.60,1
AS010,2,"COOK",OG,2014-07-14,178,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,6.5,1.60,1
AS010,2,"COOK",OG,2014-07-14,179,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,9.8,1.60,1
AS010,2,"COOK",OG,2014-07-14,180,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,8.2,1.60,1
AS010,2,"COOK",OG,2014-07-14,181,SUB,0.0938,0.2500,"Drunella","GENUS",N,5.00,8.2,1.60,1
AS010,2,"COOK",OG,2014-07-14,182,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.2,1.60,1
AS010,2,"COOK",OG,2014-07-14,183,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.2,1.60,1
AS010,2,"COOK",OG,2014-07-14,184,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.3,1.70,1
AS010,2,"COOK",OG,2014-07-14,185,SUB,0.0938,0.2500,"Chironomidae","FAMILY",P,2.00,3.3,1.70,1
AS010,2,"COOK",OG,2014-07-14,186,SUB,0.0938,0.2500,"Chloroperlidae","FAMILY",N,6.00,9.9,1.70,1
AS010,2,"COOK",OG,2014-07-14,187,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,3.20,5.3,1.70,1
AS010,2,"COOK",OG,2014-07-14,188,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.3,1.70,1
AS010,2,"COOK",OG,2014-07-14,189,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,10.0,1.70,1
AS010,2,"COOK",OG,2014-07-14,190,LR,0.3750,1.0000,"Baetis","GENUS",N,4.00,6.7,1.70,1
AS010,2,"COOK",OG,2014-07-14,191,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,4.00,6.7,1.70,1
AS010,2,"COOK",OG,2014-07-14,192,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,10.1,1.70,1
AS010,2,"COOK",OG,2014-07-14,193,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,10.1,1.70,1
AS010,2,"COOK",OG,2014-07-14,194,SUB,0.0938,0.2500,"Calineuria","GENUS",N,6.00,10.1,1.70,1
AS010,2,"COOK",OG,2014-07-14,195,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,1.00,1.7,1.70,1
AS010,2,"COOK",OG,2014-07-14,196,SUB,0.0938,0.2500,"Baetis","GENUS",N,5.00,8.5,1.70,1
AS010,2,"COOK",OG,2014-07-14,197,SUB,0.0938,0.2500,"Cinygmula","GENUS",N,5.00,8.5,1.70,1
AS010,2,"COOK",OG,2014-07-14,198,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.5,1.70,1
AS010,2,"COOK",OG,2014-07-14,199,SUB,0.0938,0.2500,"Glossosoma","GENUS",N,5.00,8.5,1.70,1
AS010,2,"COOK",OG,2014-07-14,200,SUB,0.0938,0.2500,"Baetis","GENUS",N,6.00,10.2,1.70,1
AS010,2,"COOK",OG,2014-07-14,201,SUB,0.0938,0.2500,"Drunella","GENUS",N,6.00,10.2,1.70,1
AS010,2,"COOK",OG,2014-07-14,202,SUB,0.0938,0.2500,"Baetis","GENUS",N,3.20,5.5,1.70,1
AS010,2,"COOK",OG,2014-07-14,203,SUB,0.0938,0.2500,"Calineuria","GENUS",N,5.00,8.6,1.70,1
AS010,2,"COOK",OG,2014-07-14,204,SUB,0.0938,0.2500,"Calineuria","GENUS",N,4.00,6.9,1.70,1
AS010,2,"COOK",OG,2014-07-14,205,SUB,0.0938,0.2500,"Calineuria","GENUS",N,3.20,5.6,1.80,1
AS010,2,"COOK",OG,2014-07-14,206,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.5,1.80,1
AS010,2,"COOK",OG,2014-07-14,207,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.5,1.80,1
AS010,2,"COOK",OG,2014-07-14,208,SUB,0.0938,0.2500,"Chironomidae","FAMILY",N,2.00,3.5,1.80,1
